rank,run_id,batch_id,configuration,n_estimators,max_depth,min_samples_leaf,validation_mae,validation_rmse,validation_r2,test_mae,test_rmse,test_r2
1,4de2d93080c849e396f2635627989649,20260917T162056Z-9d6991ad,rf_200_full,200,None,1,16638.58236713798,24629.84827848991,0.8894039123763477,17764.880126361124,30245.137047725744,0.8859042287094702
2,3d7ee7aeb3874cc898001857c353667d,20260917T162056Z-9d6991ad,rf_100_full,100,None,1,16695.686473265076,24632.239855270782,0.8893824334071107,17868.000573703885,30293.625215870543,0.8855381050879825
3,4594a6b08a3e4b0b83986a6a7a922235,20260917T162056Z-9d6991ad,rf_200_depth12_leaf2,200,12,2,16720.529597746598,24699.6114918742,0.8887765057131769,17623.83956461201,29959.09955493275,0.8880521009818585
4,76c33a8d8f2b4e5c99c35f5ce3d97c81,20260917T162056Z-9d6991ad,rf_200_leaf3,200,None,3,16809.369356225005,24990.4283762784,0.8861419629433718,17752.092658688118,29360.190751157348,0.8924832369730846
5,cfa25b6596ea4c86aa135ae0dd46d3af,20260917T162056Z-9d6991ad,rf_100_depth6,100,6,1,18242.135665231464,26176.221101454354,0.8750805131717774,19723.891971374494,32844.56884792118,0.865449422678575
