rank,run_id,batch_id,configuration,n_estimators,max_depth,min_samples_leaf,validation_mae,validation_rmse,validation_r2
1,442366b05d8647f28820ff59ecb70756,20260916T134012Z-d7d4d092,rf_200_full,200,None,1,16634.130788639686,24624.95403811952,0.8894478614945887
2,1b91b783dead4978ae5c35b4172da0d2,20260916T134012Z-d7d4d092,rf_100_full,100,None,1,16703.16167804323,24618.929541255497,0.8895019480556974
3,47e65d5c5fa640658542a9f96c290acc,20260916T134012Z-d7d4d092,rf_200_depth12_leaf2,200,12,2,16728.151461624657,24715.33726498704,0.8886348328582748
4,f44827b331ed4cdfa7417c5c51ed8d56,20260916T134012Z-d7d4d092,rf_200_leaf3,200,None,3,16814.96746273442,24992.74161567689,0.8861208834257968
5,79c67919e7664b8c9cdcb5283a73fe52,20260916T134012Z-d7d4d092,rf_100_depth6,100,6,1,18245.080503207293,26169.96094550202,0.8751402560930199
